축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
DDC할로윈클럽데이,보산동 한미우호광장,2018-10-27,2018-10-28,할로윈데이를 모티브로 한 젊은층 맞춤형 페스티벌,경기관광공사+경기도미술관,경기도청+경기도 동두천시청,경기도 동두천시의회 등,031-860-2627,http://www.ddc.go.kr,,경기도 동두천시 상패로216번길 42,경기도 동두천시 보산동 429-4,37.91584622,127.0565068,2025-02-13,3920000,경기도 동두천시
2025 대덕물빛축제,대청공원 일원,2025-03-28,2025-04-26,2025 대청호대덕뮤직페스티벌+주말상설공연+야관LED경관전시 등,대전광역시 대덕구,대전광역시 대덕구,,042-608-6735,,,대전광역시 대덕구 대청로 607,대전광역시 대덕구 미호동 57-1,36.47362538,127.4735679,2025-03-05,3680000,대전광역시 대덕구
동춘당문화제,동춘당역사공원 일원,2025-05-03,2025-05-03,문정공시호봉송행렬 등,대덕문화원,대전광역시 대덕구,,042-608-6574,,,대전광역시 대덕구 동춘당로 80 (동춘당),,36.36537889,127.4412933,2025-03-05,3680000,대전광역시 대덕구
백화산 해맞이 행사,백화산 정상,2026-01-01,2026-01-01,신년 해맞이 행사,태안청년회의소,태안청년회의소,,041-670-2761,,,,충청남도 태안군 태안읍 상옥리 산139-2,36.7674649,126.3019641,2025-03-05,4620000,충청남도 태안군
연포 해맞이 행사,연포 해수욕장,2026-01-01,2026-01-01,신년 해맞이 행사,연포해수욕장번영회,연포해수욕장번영회,,041-670-2761,,,,충청남도 태안군 근흥면 도황리 1526-170,36.69434027,126.2101823,2025-03-05,4620000,충청남도 태안군
꽃지 해넘이 행사,꽃지 해수욕장,2025-12-31,2025-12-31,해넘이 행사,태안반도안면청년회,태안반도안면청년회,,041-670-2761,,,,충청남도 태안군 안면읍 승언리 339-285,36.5012829,126.3346213,2025-03-05,4620000,충청남도 태안군
솔향기길 축제,꾸지나무골 해수욕장,2025-10-01,2025-10-31,솔향기길 트레킹,솔향기길축제추진위원회,솔향기길축제추진위원회,,041-670-2761,,세부 일정 미정,,충청남도 태안군 이원면 내리 498-4,36.93542524,126.2931414,2025-03-05,4620000,충청남도 태안군
모래조각힐링페스타,몽산포 해수욕장,2025-09-01,2025-09-30,모래조각 전시전 및 모래체험활동 등,충청남도 태안군 관광진흥과,충청남도 태안군 관광진흥과,,041-670-2761,,,,충청남도 태안군 남면 신장리 65-24,36.670479,126.287511,2025-03-05,4620000,충청남도 태안군
태안 반려동물 해변운동회,꽃지해수욕장,2025-05-31,2025-05-31,반려동물 동반 해변테마 운동회 행사,충청남도 태안군 관광진흥과,충청남도 태안군 관광진흥과,,041-670-2691,,,,충남남도 태안군 안면읍 승언리 244-12,36.4950891,126.3391808,2025-03-05,4620000,충청남도 태안군
서산국화축제,고북면 가구리,2022-11-02,2022-11-13,국화축제 및 체험,서산국화축제추진위원회,서산국화축제추진위원회,충청남도 서산시청,041-660-3935,https://www.seosan.go.kr/tour/index.do,,충청남도 서산시 고북면 복남골길 31-1,충청남도 서산시 고북면 가구리 52,,,2022-11-05,4530000,충청남도 서산시
(코로나로 일정 미정)서산어리굴젓축제,부석면 간월도리,2021-09-28,2021-09-29,어리굴젓 캐기 체험 및 판매,서산어리굴젓축제추진위원회,서산어리굴젓축제추진위원회,충청남도 서산시청,041-660-2069,https://www.seosan.go.kr/tour/index.do,,,충청남도 서산시 부석면 간월도리 26-27,,,2022-11-05,4530000,충청남도 서산시
(코로나로 일정 미정)서산뻘낙지먹물축제,지곡면 중리포구,2021-09-01,2021-09-01,낙지 잡기 체험 및 공연,서산뻘낙지먹물축제추진위원회,서산뻘낙지먹물축제추진위원회,충청남도 서산시청,041-660-2069,https://www.seosan.go.kr/tour/index.do,,충청남도 서산시 지곡면 어름들2길 66,,,,2022-11-05,4530000,충청남도 서산시
정월대보름 축제,양재천 영동1교 인근,2024-02-23,2024-02-23,축하공연+먹거리장터+전통문화 재현 및 세시민속놀이 체험 프로그램 운영,양재1동+양재2동+내곡동 주민자치위원회,양재1동+양재2동+내곡동 주민자치위원회,,,,,서울특별시 서초구 양재천동자전거길 484,서울특별시 서초구 양재동 126,,,2024-08-06,3210000,서울특별시 서초구
군위 삼장군단오축제,효령면 고지바위권역다목적센터 일원,2025-05-31,2025-05-31,단오축제,군위문화원,군위문화원,대구광역시청+대구광역시 군위군청,054-380-6866,,,대구광역시 군위군 효령면 장군당 1길 24-6,대구광역시 군위군 효령면 장군리 116-3,36.12359056,128.5747208,2025-03-11,5141000,대구광역시 군위군
제6회 신정1동 마을축제,단지어린이공원,2024-10-26,2024-10-26,자치회관프로그램발표+플리마켓+먹거리부스+체험부스,신정1동 마을축제추진위원회,신정1동 마을축제추진위원회,서울특별시 양천구청,02-2620-5381,,,,서울특별시 양천구 신정동 1033-1,37.520128,126.854136,2024-08-21,3140000,서울특별시 양천구
어울림 한마당 축제,강서초,2024-10-26,2024-10-26,자치회관프로그램 발표+노래자랑+문화공연+체험부스+플리마켓,"신월2,4동 축제추진위윈회","신월2,4동 축제추진위윈회",서울특별시 양천구청,02-2620-4115,,,서울특별시 양천구 오목로 31,서울특별시 양천구 신월동 441,37.5224127217,126.8409878611,2024-08-21,3140000,서울특별시 양천구
양천가족 거리축제,신월로 신정네거리역,2024-10-27,2024-10-27,각종 문화체험활동+먹거리존+거리퍼레이드,(재)양천문화재단,서울특별시 양천구청,서울특별시 양천구청,02-2021-8943,,,서울특별시 양천구 중앙로 265-1,서울특별시 양천구 신정동 1231,,,2024-08-21,3140000,서울특별시 양천구
의령 리치리치 페스티벌,서동생활공원,2024-10-03,2024-10-06,개막식+메인프로그램+상설프로그램등,경상남도 의령군 의령 리치리치 페스티벌 추진위원회,경상남도 의령군 의령 리치리치 페스티벌 추진위원회,경상남도 의령군+의령군의회,055-570-2512,https://www.uiryeong.go.kr/festival/index.uiryeong,,경상남도 의령군 의령읍 의병로8길 44,경상남도 의령군 의령읍 서동리 543,35.31545351,128.2558931,2024-11-28,5390000,경상남도 의령군
의령 신번문화축제,우륵문화마당,2024-09-06,2024-09-08,"천년을 이어온 한지의 본고장이자 악성 우륵과 가야금의 탄생지인 부림면(옛 성열현)에서 의령의 대표적인 전통문화인 한지와 가야금을 주제로 체험, 전시, 공연 등 다양한 문화행사와 함께 전국가야금경연대회가 개최되는 세대공감형 축제",경상남도 의령군,경상남도 의령군,경상남도 의령군 의령군의회,055-570-2505,https://www.uiryeong.go.kr/tour/board/view.uiryeong?boardId=FESTIVAL&menuCd=DOM_000000304001000000&dataSid=1087305,,경상남도 의령군 의령읍 충익로63,경상남도 의령군 부림면 신반리 398,35.32237273,128.2613949,2024-11-28,5390000,경상남도 의령군
의령 홍의장군축제,서동생활공원,2024-04-18,2024-04-21,개막식+메인프로그램+상설프로그램등,사단법인 의병기념사업회,사단법인 의병기념사업회,"경상남도, 의령군, 의령군의회",055-570-2502,http://www.xn--6e0bn8r18lba99azxo02acrr.kr/kr/index.html1,,경상남도 의령군 의령읍 의병로8길 44,경상남도 의령군 의령읍 서동리 543,35.31545351,128.2558931,2024-11-28,5390000,경상남도 의령군
달서 맛 축제,수밭골 웰빙음식거리,2024-09-27,2024-09-27,먹거리 골목 스토리를 담은 음식만들기 퍼포먼스+달서 대표 음식 전시+시식 등 홍보+버스킹 공연 및 체험부스 등,(사)한국외식업중앙회 달서구지부,대구광역시 달서구청,수밭골 웰빙음식거리 번영회,053-527-9606,,,대구광역시 달서구 수밭동길 17,대구광역시 달서구 도원동 1083,35.7969951,128.5498403,2025-02-06,3470000,대구광역시 달서구
달서 맛 축제,모다 음식문화거리,2024-10-05,2024-10-05,먹거리 골목 스토리를 담은 음식만들기 퍼포먼스+달서 대표 음식 전시+시식 등 홍보+버스킹 공연 및 체험부스 등,(사)한국외식업중앙회 달서구지부,대구광역시 달서구청,모다 음식문화거리 번영회,053-527-9606,,,"대구광역시 달서구 달서대로95길 7, (호산동)",대구광역시 달서구 호산동 718,35.8418553,128.4907372,2025-02-06,3470000,대구광역시 달서구
달서 맛 축제,장기 먹거리촌,2024-10-19,2024-10-19,먹거리 골목 스토리를 담은 음식만들기 퍼포먼스+달서 대표 음식 전시+시식 등 홍보+버스킹 공연 및 체험부스 등,(사)한국외식업중앙회 달서구지부,대구광역시 달서구청,장기동 먹거리촌 번영회,053-527-9606,,,대구광역시 달서구 본리서4길17,대구광역시 달서구 본리동 1205,35.840845,128.5292375,2025-02-06,3470000,대구광역시 달서구
두근두근페스티벌,두류공원 228자유광장,2025-09-20,2025-09-20,결혼 콘텐츠 프로그램+공연+ 체험 및 홍보부스 등,대구광역시 달서구청,대구광역시 달서구청,,053-667-3791,https://www.dalseo.daegu.kr,,,대구광역시 달서구 두류동 581-2,35.8507454234,128.561687,2025-02-06,3470000,대구광역시 달서구
2025 청양고추구기자문화축제(제26회),백세건강공원,2025-01-01,2025-01-01,공연+전시+판매+체험+부대행사 등,청양고추구기자축제추진위원회,청양고추구기자축제추진위원회,충청남도 청양군,041-940-4852,https://칠갑마루.com/f23/,칠갑마루+청양고추+청양구기자,,충청남도 청양군 청양읍 읍내리 377-10,36.44503302,126.8034215,2025-02-06,4590000,충청남도 청양군
제26회 칠갑산장승문화축제,칠갑산장승공원,2025-01-01,2025-01-01,대장승퍼레이드+장승대제+전통 장승깎기,칠갑산장승문화축제추진위원회,칠갑산장승문화축제추진위원회,충청남도 청양군,041-940-2193,,칠갑산+장승공원+장승,충청남도 청양군 대치면 장곡길119-17,충청남도 청양군 대치면 장곡리 75,36.40982229,126.8501828,2025-02-06,4590000,충청남도 청양군
2025 정조대왕 능행차 공동재현,서울 경복궁~수원화성~화성 융릉,2025-09-28,2025-09-28,1795년 정조대왕의 을묘년 원행을 완벽하게 재현하는 국내 최대 퍼레이드,경기도 수원시+(재)수원문화재단,경기도 수원시,,031-228-2454,https://www.swcf.or.kr/hlfl/,,경기도 수원시 팔달구 정조로 825,경기도 수원시 팔달구 남창동 6-2,37.28188256,127.0143944,2025-02-05,3740000,경기도 수원시
제62회 수원화성문화제,행궁광장 등 수원화성 일원,2025-09-27,2024-10-06,정조대왕의 효심과 부국강병의 원대한 꿈으로 축성된 세계문화유산 수원화성에서 펼쳐지는 8일간의 행사,경기도 수원시+(재)수원문화재단,경기도 수원시,,031-228-3068,https://www.swcf.or.kr/hlfl/,,경기도 수원시 팔달구 정조로 825,경기도 수원시 팔달구 남창동 6-2,37.28188256,127.0143944,2025-02-05,3740000,경기도 수원시
2025 수원화성 미디어아트,화서문+장안문+장안공원 일대,2025-09-27,2025-10-12,수원화성 대표 건축물에 프로젝션 맵핑/인터렉티브 미디어아트/레이저 등 디지털 미디어 기술을 활용한 미디어아트쇼,(재)수원문화재단,경기도 수원시,,031-228-3084,https://www.swcf.or.kr/hlfl/,,경기도 수원시 팔달구 정조로 825,경기도 수원시 팔달구 남창동 6-2,37.2818782,127.0143876,2025-02-05,3740000,경기도 수원시
천령문화제,함양상림공원,2024-05-09,2024-05-13,고유제+축하공연+버스킹공연+학술대회+야간 빛축제+문화예술단체 전시,천령문화제위원회,경상남도 함양군청,,055-960-4610,,,,경상남도 함양군 함양읍 교산리 1047-2,35.52372642,127.7218597,2025-02-05,5460000,경상남도 함양군
함양연암문화제,안의면 오리숲,2024-08-23,2024-08-24,학술대회+연암역사 퀴즈대회+연암 부임행차+연암제례+축하공연+군민노래자랑,함양연암문화제운영위원회,경상남도 함양군청,,055-960-4610,,,,경상남도 함양군 안의면 금천리 241,35.63129664,127.812171,2025-02-05,5460000,경상남도 함양군
관악구 협치과제 S1472 어린이주간,관천로 문화플랫폼 S1472 및 봉림교 주변,2023-05-05,2023-05-07,가정의 달 5월+ 어린이와 가족 관람객들이 ‘별빛내린천’과 ‘관천로 문화플랫폼 S1472’를 중심으로 함께 즐길 수 있는 다양한 예술적 프로그램 운영,서울특별시 관악구청,관악문화재단,,02-6357-5001,https://gfac.or.kr/,,서울특별시 관악구 관천로 53,서울특별시 관악구 신림동 1472-1,37.48474926,126.9250817,2025-03-10,3200000,서울특별시 관악구
2023 관악어린이가족축제_관악봄봄,별빛내린천,2023-05-20,2023-05-20,공연_전시 및 체험 프로그램_플리마켓_부스 운영 등,관악문화재단,서울특별시 관악구청+관악문화재단,,02-828-5825,https://gfac.or.kr/,,서울특별시 관악구 신림로 3길 35,서울특별시 관악구 신림동 209-1,37.46759765,126.9448709,2025-03-10,3200000,서울특별시 관악구
관악구 협치과제 이십세기 음악상점,별빛내린천 일대,2023-06-17,2023-06-18,레트로를 컨셉으로 하여 전 연령대가 함께 즐길 수 있는 세대 공감 문화 소통 프로그램,서울특별시 관악구청,관악문화재단,,02-6357-5001,https://gfac.or.kr/,,서울특별시 관악구 관천로 53,서울특별시 관악구 신림동 1472-1,37.48474926,126.9250817,2025-03-10,3200000,서울특별시 관악구
2023 GIG Festival,별빛내린천,2023-07-01,2023-07-02,모든 장르의 스트릿 댄스 배틀_댄스 워크숍_플리마켓_전시 등 다양한 스트릿 문화를 통해 청년뿐만 아니라 중장년층까지 모두가 댄서가 되어 즐길 수 있는 스트릿댄스 축제,관악문화재단,서울특별시 관악구청,서울특별시 관악구청,02-828-5764,https://gfac.or.kr/,,서울특별시 관악구 신림로 3길 35,서울특별시 관악구 신림동 209-1,37.46759765,126.9448709,2025-03-10,3200000,서울특별시 관악구
2023 어린이동화페스티벌,관악문화재단 어린이라운지,2023-08-26,2023-08-26,소방관마술쇼_동화구연_인형극 등 다양한 어린이 전문 프로그램 운영,관악문화재단,관악문화재단,서울특별시 관악구청,02-828-5829,https://lib.gwanak.go.kr/,,서울특별시 관악구 신림로 3길 35,서울특별시 관악구 신림동 209-1,37.46759765,126.9448709,2025-03-10,3200000,서울특별시 관악구
2023 관악강감찬축제,낙성대공원+별빛내린천,2023-10-13,2023-10-15,고려 명장 강감찬 장군의 호국정신을 기리고자 개최되는 서울의 대표적인 역사문화축제이자_관악구민이 함께 만들고 즐기는 축제,관악문화재단,서울특별시 관악구청,문화체육관광부+서울특별시,02-828-5763,https://ggcfest.com/,,서울특별시 관악구 낙성대로 77,서울특별시 관악구 봉천동 738-329,37.47197208,126.959371,2025-03-10,3200000,서울특별시 관악구
관악구 협치과제 다정다감 페스티벌,별빛내린천 S1472 일대,2023-10-20,2023-10-20,장애인+ 비장애인 모두가 함께하는 경계없는 축제,서울특별시 관악구청,관악문화재단,,02-6357-5001,https://gfac.or.kr/,,서울특별시 관악구 관천로 53,서울특별시 관악구 신림동 1472-1,37.48474926,126.9250817,2025-03-10,3200000,서울특별시 관악구
2023 모두의 축제: 청춘 관악,별빛내린천,2023-11-04,2023-11-04,‘청춘’을 주제 공연_체험_플리마켓 등_문화적 의미의 ‘청춘’을 통해 세대 간의 소통과 화합을 위한 축제,관악문화재단,서울특별시 관악구청+관악문화재단,,02-828-5732,https://gfac.or.kr/,,서울특별시 관악구 관천로 53,서울특별시 관악구 신림동 1472-1,37.48474926,126.9250817,2025-03-10,3200000,서울특별시 관악구
팔봉산 감자축제,팔봉면 양길리 주차장,2022-06-25,2022-06-26,감자캐기 체험+판매,팔봉산감자축제추진위원회,팔봉산감자축제추진위원회,충청남도 서산시청,041-660-3937,https://www.seosan.go.kr/tour/index.do,,충청남도 서산시 팔봉면 팔봉산로 100,충청남도 서산시 팔봉면 양길리 820,,,2022-11-05,4530000,충청남도 서산시
(코로나로 일정 미정)서산6쪽마늘축제,해미읍성,2021-06-24,2021-07-21,6쪽마늘 판매+공연+체험,서산6쪽마늘축제추진위원회,서산6쪽마늘축제추진위원회,충청남도 서산시청,041-660-3937,https://www.seosan.go.kr/tour/index.do,,충청남도 서산시 해미면 남문2로 143,,,,2022-11-05,4530000,충청남도 서산시
삼길포우럭축제,대산읍 화곡리 삼길포항,2022-07-29,2022-07-31,우럭체험 및 전시+판매,삼길포축제추진위원회,삼길포축제추진위원회,충청남도 서산시청,041-660-2069,https://www.seosan.go.kr/tour/index.do,,충청남도 서산시 대산읍 삼길포1로 65,,,,2022-11-05,4530000,충청남도 서산시
서산해미읍성축제,해미읍성,2022-10-07,2022-10-09,전통문화 공연 및 체험 등,(재)서산문화재단(서산해미읍성축제추진위원회),(재)서산문화재단(서산해미읍성축제추진위원회),충청남도 서산시청,041-660-2228,https://www.seosan.go.kr/tour/index.do,,충청남도 서산시 해미면 남문2로 143,,,,2022-11-05,4530000,충청남도 서산시
정선아리랑제,강원특별자치도 정선군 정선읍 정선공설운동장,2024-10-02,2024-10-05,강원특별자치도 무형문화재 제1호인 정선아리랑의 전승보존 및 계승,정선아리랑문화재단,강원특별자치도 정선군청,문화체육관광부+국립국악원 등,033-563-2646,www.arirangfestival.kr,,강원특별자치도 정선군 정선읍 봉양3길 17,강원특별자치도 정선군 정선읍 봉양리 253-1,37.38024298,128.6602287,2024-11-01,4291000,강원특별자치도 정선군
2024년 제6회 양주 천만송이 천일홍 축제,나리농원 일원,2024-09-27,2024-09-29,전국 최대 규모의 천일홍 꽃밭 조성으로 도농체험 및 시민 힐링 공간 제공,양주시축제추진위원회,경기도 양주시청,,031-8082-5653,https://www.yangju.go.kr/festival/index.do,,경기도 양주시 광사로 131-66,경기도 양주시 광사동 731,37.785795,127.081833,2024-10-31,5590000,경기도 양주시
삼척 문화유산 야행,죽서루 일원+대학로 일원,2024-10-25,2024-10-27,역사문화자원 활용 체험+공연+전시+야간 특화 문화유산 향유 프로그램 등,삼척문화원,삼척시,,033-570-3722,https://www.samcheok.go.kr/intro/00443/02074.web?amode=view&gcode=1002&idx=125877,죽서루 일원+대학로 일원,강원특별자치도 삼척시 죽서루길 37,강원특별자치도 삼척시 성내동 9-3,37.4405266638,129.1609925621,2024-11-04,4241000,강원특별자치도 삼척시
삼척해(海)랑영화제,삼척해변 일원,2024-08-30,2024-08-31,영화상영+단편영화 공모 및 시상+공연 등 부대행사,(사)한국영화인총연합회 삼척시지부,삼척시,,033-570-3225,https://www.samcheok.go.kr/intro/00443/02074.web?amode=view&gcode=1002&idx=125068,삼척해수욕장일원,강원특별자치도 삼척시 테마타운길 76 일원,강원특별자치도 삼척시 갈천동 14-8,37.468488,129.1683086,2024-11-04,4241000,강원특별자치도 삼척시
삼척정월대보름제,엑스포광장 일원,2024-02-23,2024-02-25,개막식+제례행사+문화재행사+민속놀이행사,삼척정월대보름제위원회,강원특별자치도 삼척시청,,033-573-2882,http://www.fullmoonfestival.or.kr/,엑스포광장+삼척해수욕장 일원,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동 1-5,37.43896231,129.160145,2024-11-04,4241000,강원특별자치도 삼척시
삼척맹방유채꽃행사,근덕면 상맹방리 유채밭 일대,2024-03-29,2024-04-14,농축특산물 판매장+향토 먹거리장터+대회+체험행사,삼척맹방유채꽃축제추진위원회,삼척맹방유채꽃축제위원회,강원특별자치도 삼척시청,033-570-3375,http://tour.samcheok.go.kr/03joy/02_03.jsp,덕산해수욕장+맹방해수욕장,강원특별자치도 삼척시 근덕면 삼척로 3916-112(마을회관),강원특별자치도 삼척시 근덕면 상맹방리 215-1 외 30필지,37.40072352,129.2117828,2024-11-04,4241000,강원특별자치도 삼척시
황영조 국제 마라톤 대회,엑스포광장+근덕면 일원,2024-04-21,2024-04-21,마라톤 대회,강원일보,강원일보,강원특별자치도 삼척시청,033-570-3813,http://samcheokmarathon.com/index.php?sub=sub01_m01_c01,박물관+죽서루+해양레일바이크+해상케이블카+해신당공원 코스,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동 1-5,37.43896231,129.160145,2024-11-04,4241000,강원특별자치도 삼척시
삼척장미축제,삼척장미공원 일원,2024-05-18,2024-05-22,공연+먹거리+체험+기타,강원특별자치도 삼척시청,강원특별자치도 삼척시청,,033-570-3082,,장미공원,강원특별자치도 삼척시 오십천로 536,강원특별자치도 삼척시 정상동 232,37.43501045,129.1752024,2024-11-04,4241000,강원특별자치도 삼척시
삼척동해왕이사부축제,삼척장미공원 일원,2024-07-20,2024-07-21,공연+퍼레이드+체험+연계행사,강원특별자치도 삼척시청,강원특별자치도 삼척시청,,033-570-3073,http://www.yisabu.com,장미공원,강원특별자치도 삼척시 오십천로 536,강원특별자치도 삼척시 정상동 232,37.43501045,129.1752024,2024-11-04,4241000,강원특별자치도 삼척시
삼척평생학습박람회 및 책축제,삼척문화예술회관 및 청소년수련관 일원,2024-10-19,2024-10-20,개막식+포상+홍보부스 운영+전시+공연+행사,강원특별자치도 삼척시청,강원특별자치도 삼척시청,,033-570-4432,http://lifelong.samcheok.go.kr/main/,삼척문화예술회관 및 청소년수련관 일대,강원특별자치도 삼척시 청석로3길 16-41,강원특별자치도 삼척시 교동 736,37.44912555,129.1780308,2024-11-04,4241000,강원특별자치도 삼척시
삼척종합예술제,문화예술회관 일원,2023-09-15,2023-09-24,공연+전시,(사)한국예총 삼척지회,(사)한국예총 삼척지회,강원특별자치도 삼척시청,033-570-3225,,삼척문화예술회관+삼척해수욕장,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동 1-5,37.43896231,129.160145,2024-11-04,4241000,강원특별자치도 삼척시
삼척민족예술제,문화예술회관 일원,2023-11-04,2023-11-11,융복합극+전시+체험교실,(사)강원민예총 삼척지부,(사)강원민예총 삼척지부,강원특별자치도 삼척시청,033-570-3225,,삼척문화예술회관+대학로 일원,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동 1-5,37.43896231,129.160145,2024-11-04,4241000,강원특별자치도 삼척시
창녕낙동강유채축제,남지읍 낙동강 유채단지(남지유채단지)+남지체육공원 일원,2025-04-10,2025-04-13,낙동강용왕대제+창녕 농부 아지매 선발대회+미술대회+개막식+20주년 기념콘서트+청소년 유채 가요제+청녕 버스킹+동춘서커스 공연+유채꽃라디엔티어링+블랙이글스에어쇼+드론쇼,(사)창녕낙동강유채축제위원회,경상남도 창녕군청,,055-530-1523,https://www.cng.go.kr/01659/02136/02137.web,,,경상남도 창녕군 남지읍 남지리 835-25,35.38472041,128.471585,2025-02-11,5410000,경상남도 창녕군
산토끼와 따오기가 함께하는 창작동요제,창녕문화예술회관 대공연장,2024-07-26,2024-07-27,동요노래부르기 대회+창작동요제,㈜KNN,경상남도 창녕군청,,055-530-1461,https://www.cng.go.kr/01659/02143/03801.web,,경상남도 창녕군 창녕읍 군청1길 35,경상남도 창녕군 창녕읍 교리 991,35.54473636,128.4902051,2025-02-11,5410000,경상남도 창녕군
창녕양파마늘가요제,창녕공설운동장 특설무대,2024-09-07,2024-09-07,경연팀 공연+초대가수공연,MBC경남,경상남도 창녕군청,,055-530-1461,https://www.cng.go.kr/01659/02141/03799.web,,경상남도 창녕군 창녕읍 창녕대로 305,경상남도 창녕군 창녕읍 퇴천리 61,35.52088133,128.5049206,2025-02-11,5410000,경상남도 창녕군
제19회 해운대 모래축제,해운대 해수욕장+구남로,2025-05-19,2024-05-27,모래작품 전시+체험프로그램+플라워카펫 등,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-4064,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2025-03-10,3330000,부산광역시 해운대구
2023 영동포도축제,레인보우힐링관광지,2023-08-24,2023-08-27,포도판매장+포도밟기+공연 등,(재)영동축제관광재단+영동포도연합회,충청북도 영동군,,043-745-8916,,,충청북도 영동군 영동읍 동정로 1,,,,2023-12-07,4440000,충청북도 영동군
2023 영동곶감축제,영동체육관 일원,2023-01-06,2023-01-08,"곶감판매장터, 체험프로그램 등",(재)영동축제관광재단+영동곶감연합회,충청북도 영동군,,043-745-8916,,,충청북도 영동군 영동읍 동정로 1,,,,2023-12-07,4440000,충청북도 영동군
도봉서원 춘·추향제,도봉서원,2015-04-28,2015-10-22,"분향례, 전폐례, 초헌례, 아헌례, 종헌례, 음복례 등 제례, 추모음악회",서울특별시 도봉구청,"서울특별시 도봉구청,(사)도봉서원",,02-905-4026,,,서울특별시 도봉구 도봉산길 90,,37.6853826,127.0325089,2018-05-01,3090000,서울특별시 도봉구
도봉산 산사축제,도봉산 일대,2015-10-02,2015-10-03,"산사음악회, 영산재, 사찰음식전 등",서울특별시 도봉구청,서울특별시 도봉구청,,02-905-4026,,,서울특별시 도봉구,,37.6864694,127.033968,2018-05-01,3090000,서울특별시 도봉구
도봉구민 건강축제,"도봉구청, 중랑천변",2015-10-16,2015-10-17,"도봉구민 걷기대회, 장애체험, 가상음주체험, 유방암검진, 신장초음파 검사, 건강관련 패널전시, 건강강좌 등",서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-4422,,,서울특별시 도봉구 마들로 656,,37.6686287,127.0470496,2018-05-01,3090000,서울특별시 도봉구
도봉산 산사축제,도봉산 일대,2015-10-02,2015-10-03,"산사음악회, 영산재, 사찰음식전 등",서울특별시 도봉구청,서울특별시 도봉구청,,02-905-4026,,,서울특별시 도봉구,,37.6864694,127.033968,2018-05-01,3090000,서울특별시 도봉구
도봉구민 건강축제,"도봉구청, 중랑천변",2015-10-16,2015-10-17,"도봉구민 걷기대회, 장애체험, 가상음주체험, 유방암검진, 신장초음파 검사, 건강관련 패널전시, 건강강좌 등",서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-4422,,,서울특별시 도봉구 마들로 656,,37.6686287,127.0470496,2018-05-01,3090000,서울특별시 도봉구
둔내고랭지토마토축제,둔내종합체육공원,2023-08-12,2023-08-14,토마토풀장+향토음식체험 등,둔내고랭지토마토축제위원회,강원특별자치도 횡성군 둔내면행정복지센터,,033-340-2774,,,강원특별자치도 횡성군 둔내면 경강로 4708,강원특별자치도 횡성군 둔내면 둔방내리 58-11,37.516751,128.2137118,2023-08-30,4261000,강원특별자치도 횡성군
횡성더덕축제,청일면 유동3리 농거리축제장,2023-09-15,2023-09-17,더덕캐기체험+더덕품평회 등,횡성더덕축제위원회,강원특별자치도 횡성군 청일면행정복지센터,,033-340-2832,,,강원특별자치도 횡성군 청일면 유동로 17,강원특별자치도 횡성군 청일면 유동리 850-2,37.58392059,128.1502908,2023-08-30,4261000,강원특별자치도 횡성군
안흥찐빵축제,안흥찐빵모락모락마을 일원,2023-10-13,2023-10-15,안흥찐빵 시식 및 홍보+농경문화 체험+먹거리장터운영 등,안흥찐빵축제위원회,강원특별자치도 횡성군 안흥면행정복지센터,,033-340-2742,,,강원특별자치도 횡성군 안흥면 주천강로 1868,강원특별자치도 횡성군 안흥면 안흥리 1063,37.40978635,128.1554843,2023-08-30,4261000,강원특별자치도 횡성군
횡성한우축제,횡성종합운동장,2023-10-06,2023-10-10,한우구이터+횡성한우 발전포럼+횡성빛축제 등,횡성문화관광재단,강원특별자치도 횡성군청,,033-340-5712,http://www.happyhanwoofestival.com/,,강원특별자치도 횡성군 횡성읍 문화체육로 57,강원특별자치도 횡성군 횡성읍 북천리 184,37.49608715,127.9891498,2023-08-30,4261000,강원특별자치도 횡성군
횡성호수길축제,횡성 망향의동산 일원,2023-05-05,2023-05-07,"호수길 걷기대회, 어린이 그림그리기대회, 스탬프 투어 등",횡성호수길축제위원회,강원특별자치도횡성군공근면행정복지센터,"K-Water 횡성원주권지사, 횡성문화관광재단",033-340-2803,,,강원특별자치도 횡성군 횡성읍 갑천면 구방5길40,강원특별자치도 횡성군 횡성읍 갑천면 구방리 512,37.545992,128.067183,2023-08-30,4261000,강원특별자치도 횡성군
